street,plz
Norderneyer Straße,
Sylter Straße,14199
Harlinger Straße,
Beverstedter Weg,
Steinrückweg,
Bonner Straße,
Wetzlarer Straße,
Rauenthaler Straße,
Marbacher Straße,
Juister Weg,
Magnolienring,
Hilde-Ephraim-Straße,
Rosensteinweg,
Straße A (HOKA III),
Charlottenburger Verbindungskanal,
Margarete-Kühn-Straße,
Gutenbergstraße,10587
Salzufer,
Pascalstraße,
Clara-von-Simson-Straße,
Bonhoefferufer,
Goerdelerdamm,
Seestraße,13353|13347
Heckerdamm,
Franklinstraße,
Otto-Dibelius-Straße,
Nonnendamm,
Herbert-Lewin-Platz,
Wegelystraße,
Alt-Lietzow,
Siemensdamm,
Dohnagestell,
Skirenweg,
Rüsternallee,14050
Friedrich-Olbricht-Damm,
Thaters Privatweg,
Adam-von-Trott-Straße,
Fürstenbrunner Weg,
Wundtstraße,
Knobelsdorffstraße,
Heilmannring,
Motardstraße,
Epiphanienweg,
Sickingenstraße,
Rapsstraße,
Im Heidewinkel,
Tiergartenschleuse,
Hausboot Im Kolk/Saatw. Damm,
Einsteinufer,
Landwehrkanal mit Flutgraben,
Westhafenkanal,
Paulsternstraße,
Am Laubwald,
Teichgräberzeile,
Kaiserin-Augusta-Allee,
Westendallee,
Goebelstraße,
Westhafen,
Straße K (HOKA III),
Straße J (HOKA III),
Straße H (HOKA III),
Straße G (HOKA III),
Straße F (HOKA III),
Straße E (HOKA III),
Straße D (HOKA III),
An der Mäckeritzbrücke,
Rieppelstraße,
Spreetalallee,
Ruhwaldweg,
Steubenplatz,
Branitzer Platz,
Eichenallee,14050
Karolingerplatz,
Gloedenpfad,
Schuckertdamm,
Jungfernheideweg,
Quellweg,
Wernerwerkdamm,
Ohmstraße,13629
Hefnersteig,
Wernigeroder Straße,
Dihlmannstraße,
Kroppenstedtweg,
Kurt-Schumacher-Damm,
Buchholzweg,
Riedemannweg,
Heisenbergstraße,
Max-Dohrn-Straße,
Lise-Meitner-Straße,
Olbersstraße,
Gaußstraße,10589
Goslarer Ufer,
Ilsenburger Straße,
Mierendorffplatz,
Am Bahnhof Westend,
Horstweg,
Vereinsweg,14059
Lerschpfad,
Sophie-Charlotten-Straße,
Pulsstraße,
Helmholtzstraße,10587
Kucharskistraße,
Morsestraße,
Dovestraße,
Hallerstraße,
Alt-Moabit,
Gotzkowskystraße,
Straße des 17. Juni,
Marchstraße,
Wullenweberstraße,
Englische Straße,
Wikingerufer,
Ernst-Reuter-Platz,
Steinplatz,
Voltastraße,13629
Lenther Steig,
Otto-Suhr-Allee,
Eosanderstraße,
Brauhofstraße,
Lohmeyerstraße,
Luisenplatz,
Charlottenburger Ufer,
Wintersteinstraße,
Sömmeringstraße,
Mierendorffstraße,
Nordhauser Straße,
Mindener Straße,
Tauroggener Straße,
Tegeler Weg,
Kamminer Straße,
Zillestraße,
Gierkezeile,
Thrasoltstraße,
Haubachstraße,
Richard-Wagner-Straße,
Bismarckstraße,10627|10625
Fritschestraße,
Hebbelstraße,
Schloßstraße,14059
Marie-Elisabeth-Lüders-Straße,
Zauritzweg,
Fraunhoferstraße,
Cauerstraße,
Guerickestraße,
Kohlrauschstraße,
Loschmidtstraße,
Warburgzeile,
Galvanistraße,
Röntgenstraße,
Darwinstraße,
Quedlinburger Straße,10589
Neues Ufer,
Iburger Ufer,
Lüdtgeweg,
Arcostraße,
Am Spreebord,
Klaustaler Straße,10589
Goslarer Platz,
Harlingeroder Weg,
Treseburger Straße,10589
Behaimstraße,10585
Richard-Wagner-Platz,
Schustehrusstraße,
Gierkeplatz,
Nithackstraße,
Wulfsheinstraße,
Stallstraße,
Pestalozzistraße,10625|10627
Goethestraße,10625|10623
Herderstraße,10625
Schillerstraße,10625|10627
Am Schillertheater,
Sesenheimer Straße,
Rückertstraße,10627
Goethepark,
Steifensandstraße,
Kaiserdamm,
Spielhagenstraße,
Crusiusstraße,
Kollatzstraße,
Königin-Elisabeth-Straße,
Haeselerstraße,14050
Soorstraße,
Gottfried-Keller-Straße,
Platanenallee,
Ahornallee,14050
Ebereschenallee,14050
Lindenallee,14050
Kastanienallee,14050|14052
Ulmenallee,
Nußbaumallee,
Akazienallee,14050
Ernst-Bumm-Weg,
Mollwitzstraße,
Heubnerweg,
Rognitzstraße,
Riehlstraße,
Dresselstraße,
Lietzenseeufer,
Witzlebenplatz,
Bredtschneiderstraße,
Meerscheidtstraße,
Fredericiastraße,
Stülpnagelstraße,
Saldernstraße,
Philippistraße,
Danckelmannstraße,
Sophie-Charlotte-Platz,
Masurenallee,
Hölderlinstraße,
Theodor-Heuss-Platz,
Klaus-Groth-Straße,
Seelingstraße,
Nehringstraße,
Neue Christstraße,
Neufertstraße,
Klausenerplatz,
Christstraße,
Gardes-Du-Corps-Straße,
Nordufer,
Wattstraße,13629
Rohrdamm,
Grammestraße,
Mäckeritzstraße,
Jugendweg,
Halskesteig,
Schwiegersteig,
Natalissteig,
Schuckertplatz,
Straße am Schaltwerk,
Janischweg,
Köttgenstraße,
Buolstraße,
Harriesstraße,
Im Eichengrund,
Habermannzeile,
Wiersichweg,
Delpzeile,
Klausingring,
Halemweg,
Toeplerstraße,
Schneppenhorstweg,
Haeftenzeile,
Geitelsteig,
Goebelplatz,
Geißlerpfad,
Schweiggerweg,
Heinickeweg,
Mohrunger Allee,
Kirschenallee,
Eschenallee,14050
Bolivarallee,
Ratzeburger Allee,
Reichsstraße,
Altenburger Allee,
Gotha-Allee,
Reußallee,
Meiningenallee,
Olympische Straße,
Oldenburgallee,
Schaumburgallee,
Brixplatz,
Koburgallee,
Nikolaus-Groß-Weg,
Reisstraße,
Popitzweg,
Letterhausweg,
Dahrendorfzeile,
Hofackerzeile,
Soldauer Platz,
Boyenallee,
Pillkaller Allee,
Warnenweg,
Frankenallee,
Pommernallee,
Alemannenallee,
Merowingerweg,
Silingenweg,
Thüringerallee,
Langobardenallee,
Badenallee,
Länderallee,
Württembergallee,
Bayernallee,
Fürstenplatz,
Preußenallee,
Hessenallee,
Marathonallee,
Halmstraße,
Stormstraße,14050
Leistikowstraße,
Siemensstraße,10551
Beusselstraße,
Osnabrücker Straße,
Wiebestraße,
Klarenbachstraße,
Huttenstraße,10553
Ufnaustraße,
Keplerstraße,10589
Brahestraße,
Herschelstraße,
Fabriciusstraße,
Scheinerweg,
Struvesteig,
Lambertstraße,
Gallesteig,
Reichweindamm,
Leuningerpfad,
Terwielsteig,
Schwambzeile,
Wirmerzeile,
Strünckweg,
Kirchnerpfad,
Bernhard-Lichtenberg-Straße,13627
Schwanenfeldstraße,
Am Heidebusch,
Straße 70,13627
Stieffring,
Hüttigpfad,
Reuchlinstraße,
Erasmusstraße,
Turmstraße,
Zwinglistraße,
Berlichingenstraße,
Rostocker Straße,10553
Wittstocker Straße,
Waldstraße,10551
Wiclefstraße,
Emdener Straße,
Waldenserstraße,
Abbestraße,
Siegmunds Hof,
Tile-Wardenberg-Straße,
Eyke-von-Repkow-Platz,
Jagowstraße,10555
Agricolastraße,
Solinger Straße,
Levetzowstraße,
Zinzendorfstraße,
Müller-Breslau-Straße,
Hertzallee,
Kapellensteig,
Jungfernsteig,
Otternbuchtstraße,
Wehneltsteig,
Bödikersteig,
Spiegelweg,
Carnotstraße,
Hannah-Karminski-Straße,
Wohlrabedamm,
Vor den Toren,
Alter Wiesenweg,
Singdrosselsteig,
Erna-Samuel-Straße,
Lichtweg,
Fetschowzeile,
Am Rosensteg,
Am Brunnen,
Wittestraße,
Triftstraße,13437|13509
Rue du Capitaine Jean Maridor,
Rue Doret,
Rue Nungesser et Coli,
Seidelstraße,
Otisstraße,
Rue Joseph le Brix,
Am Steinbergpark,
Berliner Straße,13507
Am Borsigturm,
Im Hufenschlag,
Biedenkopfer Straße,
Sterkrader Straße,
Avenue Jean Mermoz,
Scharnweberstraße,13405
Bad-Steben-Straße,
Beckumer Straße,
Egellsstraße,
Hilchenbacher Weg,
Rue du Dr. Roux,
Medebacher Weg,
Eichborndamm,
Waldstraße,13403
Kienhorststraße,
Humboldtstraße,13403|13407
Altenhofer Weg,
Alt-Wittenau,
Oeserstraße,
Uferweg Neheimer Straße,
Bernauer Straße,13507|13629
Stockumer Straße,
Bottroper Weg,
Meller Bogen,
General-Barby-Straße,
Lienemannstraße,
Auguste-Viktoria-Allee,
Ollenhauerstraße,
Am Rathauspark,
Thiloweg,
Holzhauser Straße,
Charles-Corcelle-Ring,
Tourcoing Straße,
Gustave-Courbet-Straße,
Miraustraße,
Am Nordgraben,
Flohrstraße,
Dessinstraße,
Volkspark Rehberge,
Am Triftpark,
Neheimer Straße,
Rue du Commandant Jean Tulasne,
Weststraße,13405
Illerzeile,
Coesfelder Weg,
Spießweg,
Wilkestraße,
Straße L (HOKA III),
Straße Q (HOKA III),
Straße P (HOKA III),
Straße O (HOKA III),
Straße N (HOKA III),
Straße M (HOKA III),
Straße C (HOKA III),
Sendener Weg,
Semmelweg,
Vietzer Zeile,
Pannwitzstraße,
General-Woyna-Straße,
Allée St. Exupéry,
Rue Marin la Meslée,
Uranusweg,
Nordlichtstraße,
Meteorstraße,
Jupiterstraße,13405
Zobeltitzstraße,
Engelmannweg,
Rue Charles Calmette,
Rue Dominique Larrey,
Rue Ambroise Paré,
Rue Hyacinthe Vincent,
Conradstraße,13509
Borsigwalder Weg,
Ernststraße,13509
Leuenberger Zeile,
Innungsstraße,
Am Klauswerder,
Techowpromenade,
Frommpromenade,
Hermsdorfer Straße,13437|13469
Rosentreterpromenade,
Am Dorfanger,
Am Grüngürtel,
Taldorfer Weg,
An der Mühle,
Karolinenstraße,13507
Schloßstraße,13507
Von-der-Gablentz-Straße,
Berenhorststraße,
Kögelstraße,
Dahnstraße,
Großkopfstraße,
Friedrich-Karl-Straße,13403
Blankestraße,
Straße 462,
Marsstraße,
Saturnstraße,
Venusstraße,13405
Merkurstraße,13405
Oststraße,13405
Afrikanische Straße,
Togostraße,
Swakopmunder Straße,
Nachtigalplatz,
Petersallee,
Windhuker Straße,
Hechelstraße,
Schillingstraße,13403
Belowstraße,
Straße V (HOKA IV),
Straße U (HOKA IV),
Straße T (HOKA IV),
Straße S (HOKA IV),
Hatzfeldtallee,
Wilhelm-Blume-Allee,
Buddestraße,13507
Grußdorfstraße,
Gorkistraße,
Bernstorffstraße,
Königsweg,13507
Tile-Brügge-Weg,
Ziekowstraße,
An der Oberrealschule,
Marzahnstraße,
Stillachzeile,
Eschachstraße,
Adelheidallee,
Gabrielenstraße,
Dacheroedenstraße,
Holwedestraße,
Wachstraße,
Riemerstraße,
Schickstraße,
Am Tegeler Hafen,
Alt-Tegel,
Breitachzeile,
Havelmüllerweg,
Rohrbrunner Straße,
Kehrwieder,
Basdorfer Zeile,
Staffelder Weg,
Blesener Zeile,
Straße 184,13509
Myrtenweg,
Bollestraße,
An der Heide,
Bei den Wörden,
Sangestraße,
Am Kesselpfuhl,
In den Kaveln,
Grünlandweg,
Am Hügel,
Prendener Zeile,
Werdohler Weg,
Plettenberger Pfad,
Ascheberger Weg,
Nordhellesteig,
Billerbecker Weg,
Herscheider Weg,
Kamener Weg,
Hattinger Weg,
Rauxeler Weg,
Borkener Weg,
Dülmener Pfad,
Dattelner Weg,
Westiger Pfad,
Letmather Weg,
Breckerfelder Pfad,
Attendorner Weg,
Selmer Pfad,
Bocholter Weg,
Seppenrader Weg,
Polsumer Pfad,
Am Buddeplatz,
Brunowstraße,
Schlieperstraße,
Veitstraße,
Namslaustraße,
Wickeder Straße,
Mescheder Weg,
Erndtebrücker Weg,
Kreuztaler Weg,
Weidenauer Weg,
Eisenhammerweg,
Liesborner Weg,
Borsigdamm,
Krumpuhler Weg,
Oelder Weg,
Finnentroper Weg,
Betzdorfer Pfad,
Breitenbachstraße,
Soltauer Straße,
Rüdnitzer Zeile,
Klinnerweg,
Humannstraße,
Antonienstraße,
Quäkerstraße,
Foxweg,
Jacobsenweg,
Straße 22,
Treskowstraße,13507
Schulstraße,13507
Trepliner Weg,
Trettachzeile,
Reppener Zeile,
Sommerfelder Straße,
Graf-Haeseler-Straße,
Klixstraße,13403
Drenziger Zeile,
Letschiner Weg,
Eichstädter Weg,
Klosterfelder Weg,
Nassenheider Weg,
Ladeburger Weg,
Drostestraße,
Räuschstraße,
Schubartstraße,
Tietzstraße,
Saalmannsteig,
Im Rodeland,
Schulenburgstraße,13403
Lindauer Allee,
Pfahlerstraße,
Solferinostraße,
Gotthardstraße,
Olbendorfer Weg,
Feuerweg,
Nietheweg,
Eisenhartsteig,
Windhalmweg,
Rotbuchenweg,
Puchertweg,
Rathauspromenade,
Hermann-Piper-Straße,
Jansenstraße,
Treutelstraße,
Saalmannstraße,
Siedelmeisterweg,
Reinickes Hof,
Jathoweg,
Im Wolfsgartenfeld,
Kapweg,
Müllerstraße,13349|13353
Ghanastraße,
Am Doggelhof,
Campestraße,
Rue Henri Guillaumet,
Mecklenburgweg,
Maienwerderweg,
Flughafen Tegel,
Antonyplatz,
Humboldtinsel,
Zeltinger Platz,
Beyschlagstraße,
Egidystraße,
Hohefeldstraße,
Forstamt Tegel Revierförsterei Hermsdorf,
Gutshofstraße,
Zerndorfer Weg,
Klaushager Weg,
Ludolfingerplatz,
Rue Diderot,
An den Fließtalhöfen,
Am Lehnshof,
Alt-Hermsdorf,
Bornepfad,
Rundlingsteig,
Berliner Straße,13467
Almutstraße,
Am Buchenberg,
Randower Weg,
Kreuzritterstraße,
Unkeler Pfad,
Markgrafenstraße,13465
Rodelbahnpfad,
Ettenheimer Pfad,
Schollenhof,
Schollenweg,
Am Rosenanger,
Parkstraße,13467
Amandastraße,
Veltheimstraße,
Schulzendorfer Straße,13467
Diakonieweg,
Martin-Rudloff-Weg,
Am Dorfteich,
Rausendorffweg,
Lotosweg,
Steilpfad,
Drewitzer Straße,
Hermsdorfer Damm,
An der Schneise,
Moorweg,
Falkentaler Steig,
Glambecker Weg,
Am Pfingstberg,
Brandtstraße,
Erholungsweg,
Nimrodstraße,
Oppenheimer Weg,
Dianastraße,
Sigismundkorso,
Enkircher Straße,
Fürstendamm,
Heinsestraße,
Glienicker Straße,13467
Ulmenstraße,13467
Wickhofstraße,
Wachsmuthstraße,
Wernickestraße,
Keilerstraße,
Höllentalweg,
Schluchseestraße,
Wittenauer Straße,
Cyclopstraße,
Oranienburger Straße,13437
Lange Enden,
Göschenstraße,
Blomberger Weg,
Titusweg,
Jean-Jaurès-Straße,
Rue Montesquieu,
Avenue Charles de Gaulle,
Rue Racine,
Place Molière,
Rue Georges Vallerey,
Mauschbacher Steig,
Dietrichinger Weg,
Zabel-Krüger-Damm,
Oraniendamm,
Straße 199,13469
Straße 167,13469
Tegernauer Zeile,
Titiseestraße,
Zehntwerderweg,
Alemannenstraße,13465
Maximiliankorso,
Ludolfingerweg,
Am Grünen Hof,
Münchener Straße,13465
Stolzingstraße,
Nibelungenstraße,13465
Ortwinstraße,
Im Amseltal,
Wahnfriedstraße,
Am Kringel,
Am Ausblick,
Hainbuchenstraße,
Speerweg,
Laurinsteig,
Gralsritterweg,
Horandweg,
Gurnemanzpfad,
Artuswall,
Am Eichenhain,
Lichtungsweg,
Merlinweg,
Neubrücker Straße,
Heerruferweg,
Am Priesterberg,
Dinkelsbühler Steig,
Edelhofdamm,
Fuchssteinerweg,
Zeltinger Straße,
Ariadnestraße,
Senheimer Straße,
Wiltinger Straße,
Minheimer Straße,
Gollanczstraße,
Gralsburgsteig,
Oranienburger Chaussee,
Rüdesheimer Straße,13465
Remstaler Straße,
Jostweg,
Hohenheimer Straße,
Koppelweg,13465
Hofjägerallee,
Katzensteg,
Mehringer Straße,
Frohnauer Straße,
Friedrichsthaler Weg,
Kneippstraße,
Klosterheider Weg,
Wilhelmstraße,13467
Heidenheimer Straße,
Martin-Luther-Straße,13467
Ringstraße,13467
Schramberger Straße,
Backnanger Straße,
Fellbacher Straße,
Oggenhauser Straße,
Freiherr-vom-Stein-Straße,13467
Fichtestraße,13467
Forststraße,13467
Calvinstraße,13467
Melanchthonstraße,13467
Elsenbruchstraße,
Hillmannstraße,
Jahnstraße,13467
Mühlenfeldstraße,
Götzestraße,
Boumannstraße,
Heidestraße,13467
Bonifaziusstraße,
Liebfrauenweg,
Agathenweg,
Kettelerpfad,
Basiliusweg,
Waidmannsluster Damm,
Langohrzeile,
Im Fischgrund,
Auber Steig,
Walporzheimer Straße,
Hattenheimer Straße,13465
Otternweg,
Burgfrauenstraße,
Am Biberbau,
Der Zwinger,
Kurhausstraße,
Bergstraße,13467
Kurze Straße,13467
Hohenzollernstraße,13467
Frankendorfer Steig,
Wildschwansteig,
Sandgrasweg,
Hieronymusweg,
Ehrenpfortensteig,
Am Waldidyll,
Amselgrund,
Waldfriedenstraße,
Waldspechtweg,
Kurfürstenstraße,13467
Dohnensteig,
Jagowstraße,13467
Dünenweg,
Hambacher Weg,
Freilandweg,
Allmendeweg,
Kampweg,
Barnabasstraße,
Osianderweg,
Waldhornstraße,
Bondickstraße,
Hochjagdstraße,
Am Leitbruch,
Nach der Höhe,
Am Dianaplatz,
Hubertusstraße,13469
Artemisstraße,
Halalistraße,
Düsterhauptstraße,
Fürst-Bismarck-Straße,
Treiberpfad,
Fließtalstraße,
Am Wechsel,
Dreifelderweg,
Stubbichtweg,
Ackerplanweg,
Talsandweg,
Feldmarkweg,
Moränenweg,
Am Priesteracker,
Eltviller Straße,
Odilostraße,
Roedernstraße,13467
Silvesterweg,
Roswithastraße,
Olafstraße,
Oswinsteig,
Tegeler Straße,13467
Robinienweg,
Forlenweg,
Schloßstraße,13467
Auguste-Viktoria-Straße,13467
Arnheidstraße,
Schildower Straße,13467
Elkesteig,
Bertramstraße,
Solquellstraße,
Waldseeweg,
Seeblickstraße,
Triniusstraße,13467
Fontanestraße,13467
Am Waldpark,
Cecilienallee,
Gambiner Weg,
Welfenallee,
Karmeliterweg,
Forstweg,
Mattersburger Weg,
Benediktinerstraße,
Am Querschlag,
Gawanstraße,
Donnersmarckallee,
Donnersmarckplatz,
Olwenstraße,
Zwergenweg,
Pirschweg,
Pfadfinderweg,
Am Kahlschlag,
Graneweg,
Helweg,
Bifröstweg,
Hangweg,
Wilsbergzeile,
Pilgersdorfer Weg,
Erich-Anger-Weg,
Benekendorffstraße,
Pforzheimer Straße,
Lierbacher Weg,
Zieselweg,
Zühler Weg,
Askaloner Weg,
Knappenpfad,
Kasinoweg,
Kammgasse,
An der Buche,
Tannenstraße,
Am Grünen Zipfel,
Seebadstraße,13467
Am Ried,
Seestraße,13467
Junostraße,
Am Seeschloß,
Elsestraße,
Bertastraße,13467
Gisbertasteig,
Gertrudstraße,13467
Käthestraße,13467
Hedwigstraße,13467
Marthastraße,13467
Eutinger Weg,
Wolfacher Pfad,
Tiefenbronner Weg,
Schonacher Straße,
Am Waidmannseck,
Lahrer Pfad,
Florastraße,13469
Gutachstraße,
Nagolder Pfad,
Horber Straße,
Am Tegelgrund,
Im Waldwinkel,
Am Bärensprung,
Wisentweg,
Spießergasse,
Im Brachfeldwinkel,
Am Dominikusteich,
Desideriusweg,
Bieselheider Weg,
Wildkanzelweg,
Barthstraße,
Am Poloplatz,
Bergfelder Weg,
Schönfließer Straße,13465
Invalidensiedlung,
Ansgarstraße,
Hubertusweg,
Utestraße,
Staehleweg,
Bundschuhweg,
Weislingenstraße,
Rosenplüterweg,
Bulgenbachweg,
Am Pilz,
Schwarzkittelweg,
Rauentaler Straße,
Geierpfad,
Königsbacher Zeile,
Huttenstraße,13465
Kniggeweg,
Söllerpfad,
Konzer Platz,
Fuchsring,
Rappenweg,
Criolloweg,
Lipizzanerweg,
Mustangweg,
Haflingerpfad,
Ponyweg,
Saalower Straße,
Galluner Straße,
Seydlitzstraße,12307
Kirchhainer Damm,
Lützowstraße,12307
Miethepfad,
Nikolaus-Bares-Weg,
Happestraße,
Schumpeterstraße,
Friedenfelser Straße,
Wehnertstraße,
Töpchiner Weg,
Lichtenrader Damm,
Symeonstraße,
Löwenbrucher Weg,
Marienfelder Allee,
Ahrensdorfer Straße,
Luckeweg,
Steinstraße,12307
Forstamt Köpenick Revierförsterei Wuhlheide,
Braunfelsstraße,
Imhoffweg,
Schichauweg,
Goldschmidtweg,
Benzstraße,
Ankogelweg,
Groß-Ziethener Straße,
Straße 40,12309
Bleichertstraße,
Kettinger Straße,
Föttingerzeile,
Salmbacher Straße,
Mellener Straße,
Alt-Marienfelde,
In den Gärten,
Marienfelder Chaussee,
Bühler Weg,
Weitbrucher Straße,
Schillerstraße,12305
Rapstedter Weg,
Horstwalder Straße,
Petkusser Straße,
Mariendorfer Damm,
Grimmingweg,
Tirschenreuther Ring,
Illigstraße,
Fontanestraße,12305
Schwalbachstraße,
Krontalstraße,
Bienwaldring,
Kambergstraße,
Kloster-Zinna-Straße,
Taunusstraße,12309
Wiesbadener Straße,12309
Königsteinstraße,12309
Straße 9,12309
Tilkeroder Weg,
Halker Zeile,
Egestorffstraße,
Drusenheimer Weg,
Pfarrer-Wenke-Weg,
Ernst-Arndt-Weg,
Weberstraße,12307
Kirchbachstraße,12307
Maximilian-Kaller-Straße,
KGA Erholung,
Bernsteinring,
Zehrensdorfer Straße,
Am Horstenstein,
Bohnstedtstraße,
Nuthestraße,
Wünsdorfer Straße,
Malteserstraße,
Friedensweg,
Maffeistraße,
Franziusweg,
Abendrotweg,
Warnitzer Straße,12305
Dessenheimer Weg,
Trimbacher Straße,
Am Rötepfuhl,
Delmer Steig,
Feldspatweg,
Hornblendeweg,
Bösensteinweg,
Richard-Tauber-Damm,
Säntisstraße,
Buckower Chaussee,
Fignerweg,
Rackebüller Weg,
Goethestraße,12305
Straße 482,
Basaltweg,
Muschelkalkweg,
Grauwackeweg,
Glimmerweg,
Graphitweg,
Paplitzer Straße,
Klausdorfer Weg,
Alvenslebenstraße,12307
Pechsteinstraße,
Münchener Straße,12309
Bamberger Straße,12309
Nürnberger Straße,12309
Regensburger Straße,12309
Wittelsbacherstraße,12309
Wolziger Zeile,
Straußstraße,12307
Egsdorfer Weg,
Lortzingstraße,12307
Flotowstraße,12307
Beethovenstraße,12307
Brahmsstraße,12307
Mozartstraße,12307
Falckensteinstraße,12307
Steinmetzstraße,12307
Spirdingseestraße,
Scharnhorststraße,12307
Keithstraße,12307
John-Locke-Straße,
Hendonstraße,
Gerstnerweg,
Kindelbergweg,
Bodmerstraße,
Finchleystraße,
Riedingerstraße,
Bahnhofstraße,12305|12307
Löptener Straße,
Rehagener Straße,
Goltzstraße,12307
Alt-Lichtenrade,
Marienfelder Straße,
Im Domstift,
Bornhagenweg,
Prinzessinnenstraße,12307
Paetschstraße,
Rangsdorfer Straße,
Krügerstraße,12307
Hohenzollernstraße,12307
Hilbertstraße,
Karlstraße,12307
Pfarrer-Lütkehaus-Platz,
Briesingstraße,
Zescher Straße,
Haeselerstraße,12307
Kesselstraße,
Warmensteinacher Straße,
Weilburgstraße,
Bahnstraße,
Proellstraße,
Stegerwaldstraße,
Kirchstraße,12277
An der Dorfkirche,
Motzener Straße,
Nahmitzer Damm,
Dörfelweg,
Dinnendahlstraße,
Grenzweg,12307
Simpsonweg,
Neanderstraße,
Lutherstraße,12305
Geibelstraße,12305
Hanowsteig,
Skarbinastraße,
Barnetstraße,
Elisabethstraße,12307
Wildauer Straße,
Blohmstraße,
Charlottenstraße,12307
Prinz-Heinrich-Straße,
Rieflerstraße,
Rhinstraße,12307
Kronstadter Weg,
Greulichstraße,
Göllweg,
Fluchthornweg,
Ifenpfad,
Zangenbergweg,
Keuperweg,
Sandsteinweg,
Schlierbacher Weg,
Cecilienstraße,12307
Rohrbachstraße,
Hirzerweg,
Pasinger Straße,
Kronacher Straße,
Augsburger Straße,12309
Tutzinger Straße,
Beckmannstraße,
Nahariyastraße,
Tietjenstraße,
Carl-Steffeck-Straße,
Würzburger Straße,12309
Siekeweg,
Aschaffenburger Straße,12309
Gätzschmannpfad,
Hoeschweg,
Scheerbartweg,
Eisnerstraße,
Nunsdorfer Ring,
Poleigrund,
Sperenberger Straße,
Diedersdorfer Weg,
Albanstraße,
Fürther Straße,12309
Landshuter Straße,12309
Füssener Straße,
Augsburger Platz,
Passauer Straße,12309
Dossestraße,12307
Grimmstraße,12305
Neue Heimat,
Angermünder Straße,12305
Schwedter Straße,12305
Bernauer Straße,12305
Potsdamer Straße,12305
Griembergweg,
Landsberger Straße,12305
An der Heilandsweide,
Grillostraße,
Intzestraße,
Gebertstraße,
Sameiskystraße,
Tullaweg,
Scheideggweg,
Jean-Paul-Weg,
Nespersteig,
Domagkstraße,
Meßmerstraße,
Prechtlstraße,
Barlachweg,
Rigistraße,
Fleschweg,
Mauserstraße,
Hossauerweg,
Culemeyerstraße,
Schwechtenstraße,
Baldersheimer Weg,
Feldstedter Weg,
Lintruper Straße,
Lenaustraße,12305
Glaserweg,
Im Eck,
Ringelnatzstraße,
Homburgstraße,
Kronbergstraße,
Weißenthurmstraße,
Fehlingstraße,
Krusauer Straße,
Rudolf-Pechel-Straße,
Lessingstraße,12305
Rotenkruger Weg,
Ekensunder Weg,
Werfelstraße,
Zeißpfad,
Wingerter Straße,
Ostheimer Straße,
Künheimer Weg,
Heinitzweg,
Freiertweg,
Dielingsgrund,
Rathenower Straße,12305
Soldiner Straße,12305
Raabestraße,12305
Uhlandstraße,12305
Schottburger Straße,
Kraatzweg,
Schwebelstraße,
Gessepfad,
Küstriner Straße,12305
Humboldtstraße,12305
Battenheimer Weg,
Haewererweg,
Gerlinger Straße,
Seltersstraße,
Reichnerweg,
Norstedter Weg,
Rademeierweg,
Oranienburger Straße,12305
Rennsteig,
Sodenstraße,
Gaudacher Straße,
Daimlerstraße,
Brandaustraße,
Martiusweg,
Kaiserallee,
Beyrodtstraße,
Schomburgstraße,
Hollabergweg,
Stadtilmer Weg,
Sondershauser Straße,
Gräfentaler Straße,
Apoldaer Straße,
Rodacher Weg,
Hanielweg,
Manntzstraße,
Friedrichrodaer Straße,
Tambacher Straße,
Marchandstraße,
Brotteroder Straße,
Tennstedter Straße,
Frankenhauser Straße,
Tautenburger Straße,
Trippsteinstraße,
Altenburger Straße,
Wasunger Weg,
Wernshauser Straße,
Arnstädter Straße,
Welterpfad,
Fügener Weg,
Lechtaler Weg,
Schäßburger Weg,
Hermannstadter Weg,
Klausenburger Pfad,
Preßburger Pfad,
Bistritzer Pfad,
Baußnernweg,
Hermeroder Weg,
Friesdorfer Pfad,
Wippraer Weg,
Pansfelder Weg,
Reinstedter Weg,
Wettelroder Weg,
Meisdorfer Pfad,
Greizer Straße,12279
Kruseweg,
Waldsassener Straße,
Erbendorfer Weg,
Weskammstraße,
Fuchsmühler Weg,
Zernickstraße,
An den Klostergärten,
Pfabener Weg,
Quarzweg,
Asbestweg,
Straße 99,
Pohligstraße,
Goldaper Straße,
Germaniastraße,
Blumenthalstraße,12103
Schaffhausener Straße,
Muttlerweg,
Freymüllerweg,
Koppelweg,12347
Am Bergpfuhl,
Furkastraße,
Lienzer Pfad,
Im Lesachtal,
Tauernallee,
Ringstraße,12105
Kalksteinweg,
Schefferweg,
Richterstraße,12105
Marconistraße,
Forddamm,
Doldenweg,
Retzowstraße,
Buckower Damm,
Lerbacher Weg,
Hranitzkystraße,
Prellerweg,
Lauberhornweg,
Hundsteinweg,
Parksiedlung Spruch,
Wichurastraße,
Falkenhausenweg,
Orlamünder Weg,
Arnulfstraße,
Röblingstraße,
Marienhöher Weg,
Graacher Straße,12247
Alt-Lankwitz,
Monopolstraße,
Imbrosweg,
Mohriner Allee,
Haselsteig,
Wendelsteinweg,
Kreideweg,
Schieferweg,
Tropfsteinweg,
Britzer Straße,12109
Grüntenstraße,
Am Irissee,
Fritz-Werner-Straße,
Untertürkheimer Straße,
Wilhelm-von-Siemens-Straße,
Heimsbrunner Straße,
Brandenburgische Straße,12167
